0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,7,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,48,3,129,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,233,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,233,63,0,128,171,0,255,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,128,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,128,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,233,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,233,63,0,128,255,0,180,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,7,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,127,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,230,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,230,63,0,1,171,0,255,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,128,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,126,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,230,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,230,63,0,1,255,0,180,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,7,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,125,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,215,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,215,63,0,1,171,0,255,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,128,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,124,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,215,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,215,63,0,1,255,0,180,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,7,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,123,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,140,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,140,63,0,1,171,0,255,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,128,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,122,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,140,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,140,63,0,1,255,0,180,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,7,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,112,3,121,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,21,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,21,63,0,1,171,0,255,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
0,128,0,68,241,162,34,183,68,13,124,255,255,50,255,255,0,36,63,63,63,63,63,63,82,0,23,43,35,117,180,0,36,63,63,63,63,63,63,110,0,23,1,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,60,126,126,126,126,255,255,255,195,0,0,176,3,120,0,0,0,0,0,0,246,246,63,63,246,246,63,63,0,21,24,0,52,82,196,246,20,7,0,226,0,0,0,0,0,21,63,0,1,255,0,180,0,189,0,0,0,0,0,99,255,0,0,235,254,192,242
